ApplicationName,StoreId,InstallContext
Microsoft Photos,9WZDNCRFJBH4,user
Paint,9PCFS5B6T72H,user
Snipping Tool,9MZ95KL8MR0L,user
Windows Calculator,9WZDNCRFHVN5,user
Windows Notepad,9MSMLRH6LZF3,user
Windows Terminal,9N0DX20HK701,user
Outlook (new),9NRX63209R7B,user
Adobe Photoshop,XPFD4T9N395QN6,system
Adobe Creative Cloud,XPDLPKWG9SW2WD,system
Adobe Acrobat Reader DC,XPDP273C0XHQH2,system
Company Portal,9WZDNCRFJ3PZ,system
Mozilla Firefox,9NZVDKPMR9RD,system
Visual Studio Code,XP9KHM4BK9FZ7Q,user
